aback|unexpected; surprised and disconcerted
bumbling|(adjective) lacking physical movement skills, especially with the hands
burgeon|put out leaves, begin to grow
buttress|(verb) make stronger or defensible
byzantine|(adjective) intricate and complex
cacophonous|having a harsh or discordant sound
cacophony|harsh discordance of sound; dissonance
cadaverous|(adjective) emaciated; gaunt
cajole|to persuade by flattery or promises; wheedle; coax
calipers|metal supports attached to the legs, measuring instrument
callow|immature or inexperienced
calumniate|to spread false statements about
calumny|a false and malicious statement designed to injure the reputation of someone or something
canard|(noun) a deliberately misleading fabrication
candid|frank, straight-forward
candidness|(noun) the quality of being honest and straightforward in attitude and speech
canon|n. accepted rules and tenets of a discipline n. sacred works/scripture; in this sense it is also used to refer to notable literary and artistic works of a culture or discipline
capacity|n. the capability to perform a particular action or fulfill a given function n. the total amount a container can hold n. a particular position or role (i.e. “she served in an advisory capacity”)
capitulate|cease to resist an opponent or an unwelcome demand; surrender
capricious|(adjective) determined by chance or impulse or whim rather than by necessity or reason
cardinal|(adjective) of primary importance; fundamental
carom|any strike and rebound, as a ball striking a wall and glancing off
carping|(adjective) persistently petty and unjustified criticism
castigate|(verb) to reprimand harshly
castigation|severe punishment
casual|happening by chance, careless
cataclysm|large-scale and violent event in the natural world
catalyst|substance that causes speeding up
catholic|(adjective) of broad scope; universal
caul|amniotic membrane enclosing a fetus, thought to bring good luck
caustic|adj. corrosive adj. bitterly sarcastic
cavalcade|a procession of persons riding on horses, in horsedrawn carriages, in cars, etc.
cavalier|(adjective) given to haughty disregard of others
cavort|jump or dance around excitedly
cede|(verb) relinquish possession or control over
celerity|swiftness or speed
censor|(verb) to examine and remove objectionable materialgre.magoosh.com/flashcards
censure|The act of blaming or finding fault with and condemning as wrong; reprehension; blame; strong or vehement expression of disapproval
census|official counting of the population
centurion|leader of a unit of 100 soldiers
cerebral|(adjective) involving intelligence rather than emotions or instinct
chagrin|(noun) strong feelings of embarrassment
champion|(verb) protect or fight for as a champion
charlatan|(noun) a flamboyant deceiver; one who attracts customers with tricks or jokes
chary|cautious, wary
chastisement|punishment
chastise|(verb) to reprimand harshly
chauvinism|(noun) fanatical patriotism; belief that one's group/cause is superior to all other
chauvinist|(noun) a person who believes in the superiority of their group
checkered|(adjective) one that is marked by disreputable happenings
check|(verb) to limit (usually modifying the growth of something)
chicanery|n. trickery or deception
chimera|a thing that is hoped or wished for but in fact is illusory or impossible to achieve
chimerical|unreal; imaginary; visionary
chisel|steel tool for shaping materials
chivalrous|(adjective) being attentive to women like an ideal knight
choleric|(adjective) prone to outbursts of temper; easily angered
chortle|to chuckle gleefully
chronological|adj. ordered by time
churl|bad-tempered person
churlish|(adjective) lacking manners or refinement
circumscribe|(verb) restrict or confine
circumspect|watchful and discreet; cautious; prudent
circumvent|(verb) cleverly find a way out of one's duties or obligations
cirque|a circle or ring; a bowl-shaped, steep-walled mountain basin carved by glaciation, often containing a small, round lake
cite|give as an example
clamber|to climb, using both feet and hands; climb with effort or difficulty
clandestine|characterized by or executed with secrecy
clarion|clear and shrill; an ancient trumpet with a curved shape
cleanse|make pure, thoroughly clean
clemency|(noun) leniency and compassion shown toward offenders by a person or agency charged with
clerisy|learned persons as a class; literati; intelligentsia
clot|half-solid lump formed from liquid
cloture|closing, device (in Parliament) to end a debate by voting
coalesce|(verb) fuse or cause to grow together
coalescing|coming together and uniting into one substance
coddle|treat with care and tenderness
codger|an elderly man, especially one who is old-fashioned or eccentric
codicil|(legal) an addition or supplement that explains, modifies or revokes a will or part of one
coerce|compel, to force to make obedient
cogent|clear, logical and convincing
cogitate|think deeply, mediate
cognition|knowing, awareness (emotionless)
cohesive|(adjective) well integrated, forming a united whole
cohort|a group or band of people; a companion or an associate
colander|bowl-shaped vessel with many holes used to drain off water
collate|to gather or arrange in their proper sequence
collegial|of or characterized by the collective responsibility shared by each of a group of colleagues, with minimal supervision from above
collude|to act together through a secret understanding, esp. with evil or harmful intent
collusion|secret agreement for a deceitful purpose
colossal|(adjective) so great in size or force or extent as to elicit awe
combustion|process of burning
comestible|edible; eatable
comity|courtesy and considerate behavior towards others
commendable|worthy of praise
commend|praise
commensurate|having the same measure; of equal extent or duration
commination|a threat of punishment or vengeance
commissariat|the department of an army charged with the provision of supplies, both food and forage, for the troops
commodious|spacious and convenient, roomy
commuter|person who travels regularly
compelling|adj. captivating adj. very persuasive
complacently|with self-satisfaction
complacent|showing smug or uncritical satisfaction with oneself or one's achievements
complaisance|easy-going habit of mind
complaisant|willing to please others; obliging; agreeable
complementary|(adjective) enhancing each other's qualities (for two things or more).
complement|something that completes or makes perfect
complicit|(adjective) Associated with or participating in an activity, especially one of a questionable
comply|act in accordance
comport|to bear or conduct (oneself); behave
compound|mix or combine
comprehensive|adj. complete and thorough
compunction|a feeling of guilt or moral scruple that follows the doing of something bad
conceal|to hide; withdraw or remove from observation
concede|(verb) acknowledge defeat
conceit|over-high opinion of, too much pride
conciliate|(verb) to make peace with
conciliatory|intended or likely to placate or pacify
concomitant|(adjective) describing an event or situation that happens at the same time as or in
concord|agreement or harmony
concrete|constituting an actual thing or instance; real
concur|agree in opinion, happen together
condense|increase in density, strength, make laconic
condone|v. to approve or allow
conducive|(adjective) making a situation or outcome more likely to happen
confabulation|Psychiatry. the replacement of a gap in a person's memory by a falsification that he or she believes to be true
conflagration|a large and destructive fire; a general burning; conflict or war
conflate|to bring together; to fuse together; to join or meld; to combine as in two readings into a whole
confluence|a flowing together of two or more streams, rivers, or the like
confound|(verb) be confusing or perplexing to
confront|to face in hostility or defiance; oppose
confute|to prove to be false, invalid or defective; disprove
congeal|make or become stiff and solid
conniving|(verb) taking part in immoral and unethical plots
connoisseur|a person with good judgement (eg. in art)
consecrate|(verb) to make holy or set apart for a high purpose
consent|give agreement or permission
consequential|adj. as a result of adj. significant or memorable
consolation|consoling or being consoled
console|give comfort or sympathy to
conspectus|a general sketch or survey of a subject; an outline
conspicuous|(adjective) without any attempt at concealment; completely obvious
consternation|surprise and fear,dismay
constituent|(noun) a citizen who is represented in a government by officials for whom he or she votes
constraint|(noun) something that limits or restricts
constrict|make tight or smaller
construe|(verb) interpreted in a particular way
consume|get to the end of
consummate|(adjective) having or revealing supreme mastery or skill
consumption|n. utilization (esp. of a resource)
contemptuous|(adjective) scornful, looking down at others with a sneering attitudegre.magoosh.com/flashcards
contend|v. assert or claim v. grapple with
contentious|quarrelsome
contiguous|touching, neighboring, near
contingent|(noun) a gathering of persons representative of some larger group
contravene|to come or be in conflict with; go or act against; deny or oppose
contrite|filled with deep sorrow for wrongdoing
contrition|(noun) the feeling of remorse or guilt that comes from doing something bad
contrivance|a plan or scheme; expedient
contrive|(verb) to pull off a plan or scheme, usually through skill or trickery
conundrum|(noun) a difficult problem
convivial|friendly; agreeable
convoke|call together, summon
convoluted|complicated; coiled, twisted
copious|(adjective) in abundant supply
cord|twisted strands
cornucopia|(noun) an abundant supply of something good
corollary|(noun) a practical consequence that follows naturally
corporeal|physical; of or for the body
correlate|have a mutual relation
corroborate|(verb) to confirm or lend support to (usually an idea or claim)
corroboration|additional, strengthening evidence
coruscate|to emit vivid flashes of light; sparkle; scintillate; gleam
cosmopolitan|(adjective) comprising many cultures; global in reach and outlook
cosseted|(verb) treat with excessive indulgence
coterminous|having the same border or covering the same area
counterfeit|forgery
countermand|to annul, cancel, make a contrary order
countervail|to act or avail against with equal power, force, or effect; counteract.
coven|group of witches
covert|hidden; secret
covetous|eagerly desirous
covet|v. to desire something that does not belong to you
cower|to cringe in fear
cow|(verb) to intimidategre.magoosh.com/flashcards
coxcomb|a conceited, foolish dandy; pretentious fop
cozen|to cheat, deceive or trick
craft|n. cunning n. skill
crass|crude, unrefined
craven|cowardly
crease|line made by crushing; white line on the ground in criket
credence|acceptance of something as true or real
credible|plausible, believable
creditable|(adjective) deserving of praise but not that amazing
credulity|willingness to believe or trust too readily, esp. without proper or adequate evidence; gullibility
credulous|ready to believe things
creed|a set of beliefs or aims that guide someone's actions
crepuscular|of, resembling, or relating to twilight; appearing or active in twilight
crescendo|gradual increase in volume of sound
crestfallen|(adjective) brought low in spirit
cringe|to shrink in fear
criterion|standard for judging, rule for testing
crotchet|a perverse or unfounded belief or notion
crush|press, lose shape, subdue, overwhelm
crux|the basic, central or critical point or feature
cryptic|secret, with a hidden meaning
crystallize|(verb) cause to take on a definite and clear shape
cudgel|A short heavy stick used as a weapon; a club
cuisine|characteristic style of cooking
culminate|(verb) reach the highest or most decisive point
culmination|climax, final stage
culpability|(noun) a state of guilt
culpable|guilty, responsible for wrong
culprit|guilty person
cumbersome|burdensome, heavy and awkward to carry
cumulative|resulting from gradual increase
cupidity|greed for money or possessions
cur|a mongrel dog, esp. a worthless or unfriendly one; a mean, cowardly person
curator|caretaker and overseer of an exhibition
curmudgeon|cranky person (see Jeff)
cursory|hastily done, superficial
curt|abrupt, blunt
curtail|to shorten
cutlery|cutting instruments; tableware
cygnet|young swan
cyngent|a young swan
cynic|person who distruts the motives of others
dally|to act playfully or waste time
dart|quick movement; missile in darts
daunt|to discourage, intimidate
dawdler|one who wastes time or is slow in movement
dearth|scarcity; lack; inadequate supply
debase|to degrade or lower in quality or stature
debauch|to corrupt, seduce from virtue or duty; indulge
debilitate|to weaken, enfeeble
debonair|(adjective) having a sophisticated charm
debouch|to march out from a narrow or confined place into open country, as a body of troops
debunk|to discredit, disprove
debutate|young woman making debut in high society
decadence|decline or decay, deterioration
decamp|to leave suddenly
decapitate|to behead
decathlon|athletic contest with ten events
deciduous|losing leaves in the fall; short lived; temporary
decimation|(noun) destroying or killing a large part of the population
declivity|downward slope
decorous|proper, tasteful, socially correct
decorum|propre behavior, etiquette
decry|to belittle, openly condemn
deface|to mar the appearance of, vandelize
defamatory|slanderous, injurious to the reputation
defame|to disgrace or slander
defect|an imperfection or shortcoming
defendant|person required to answer a legal action or suit
defenestrate|(humorously) throwing somthing or someone out of a window
deference|humble submission and respect
deferential|respectful and polite in a submissiv way
defer|to submit or yield
defiance|open disobedience or resistance
deficient|defective, not meeting a normal standard
defile|any narrow passage, esp. between mountains
deflation|decrease, depreciation
deflect|turn aside
deform|to disfigure, distort
defray|(verb) to help pay the cost of, either in part of full
deftness|adj. skill, acumen adj. manual dexterity
deft|skillful, dexterous
defunct|no longer existing, dead, extinct
degrade|(verb) reduce in worth or character, usually verbally
deign|to think fit or in accordance with one's dignity; condescend
deipnosophist|a person who is an adept conversationalist at table
delectation|delight, enjoyment
delegate|(verb) give an assignment to (a person)
deleterious|injurious to health; harmful
deliberate|done consciously and intentionally; fully considered; not impulsive
delineate|(verb) describe in detail
deluge|great flood, heavy rush of water
demean|(verb) to insult; to cause someone to lose dignity or respect
demonstrative|(adjective) given to or marked by the open expression of emotion
demure|(adjective) to be modest and shy
demur|raise an objection
denigrate|(verb) charge falsely or with malicious intent; attack the good name and reputation of
denote|(verb) be a sign or indication of; have as a meaning
denouement|the final part of a play, movie or narrative in which the strands of the plot are drawn together and matters are resolved
dent|hollow, depression mad by a blow
denude|to divest of covering; make bare
deposition|dethronoment, depositing
deprave|make morally bad; corrupt
depravity|moral corruption
deracinate|to pull up by the roots; uproot; extirpate; eradicate
derelict|(adjective) (of a person) not doing one's duties
deride|(verb) treat or speak of with contempt
derision|ridicule; mockery; an object of ridicule
derisive|(adjective) abusing vocally; expressing contempt or ridicule
derivative|derived, not original or primitive
derive|(verb) come from; be connected by a relationship of blood, for example
derogate|to detract, as from authority, estimation, etc
derogative|(adjective) expressed as worthless or in negative terms
descry|catch sight of, see something in the distance
desecrate|to abuse something sacred
desicate|remove the moisture from something esp. food, typically in order to preserve it
desiccated|remove the moisture from (something, esp food) typically in order to preserve it
desiccate|to dry completely, dehydrate
desideratum|something wanted or needed
desist|to stop doing something
